frame_number,track_id,car_bbox,car_bbox_score,license_plate_bbox,license_plate_bbox_score,license_plate_number,license_text_score
9,1.0,[99.13597106933594 184.7708282470703 1377.0169677734375 1063.56591796875],0.7357382774353027,[264.4870910644531 618.220458984375 516.620361328125 745.5234375],0.6566400527954102,G,0.6566400527954102
9,11.0,[0.0 369.9240417480469 270.3114929199219 773.8395385742188],0.8374677300453186,[10.421616554260254 172.28150939941406 172.12252807617188 239.72207641601562],0.2922939360141754,WR,0.2922939360141754
10,1.0,[96.8568344116211 184.00360107421875 1372.02490234375 1063.5589599609375],0.779257595539093,[263.952880859375 617.6357421875 520.4612426757812 746.9822387695312],0.6536147594451904,W,0.6536147594451904
10,11.0,[0.0 368.45281982421875 266.01141357421875 779.9828491210938],0.8211326003074646,[0.06545734405517578 175.090087890625 88.1043701171875 233.50390625],0.38697636127471924,M,0.38697636127471924
11,1.0,[94.52286529541016 182.2642364501953 1365.559814453125 1063.5203857421875],0.8339323401451111,[1023.430908203125 822.5713500976562 1271.0 881.0],0.25136974453926086,NN,0.25136974453926086
12,1.0,[91.0946044921875 179.43429565429688 1362.9677734375 1062.7552490234375],0.8501358032226562,[1026.826416015625 818.1254272460938 1270.072265625 883.0],0.3822343349456787,N,0.3822343349456787
12,6.0,[833.0167236328125 256.98724365234375 1917.27001953125 1068.2999267578125],0.9385090470314026,[292.4326171875 762.8311767578125 527.563232421875 810.45166015625],0.2686212360858917,R,0.2686212360858917
12,11.0,[0.08721054345369339 366.70172119140625 260.4938659667969 781.1268920898438],0.8349227905273438,[4.997756004333496 176.03103637695312 107.28668975830078 234.68222045898438],0.2889188826084137,M,0.2889188826084137
13,1.0,[90.04782104492188 178.76446533203125 1363.159423828125 1062.0128173828125],0.8469998836517334,[1028.9674072265625 819.517822265625 1271.7418212890625 884.0],0.39999139308929443,N,0.39999139308929443
13,11.0,[0.5442745685577393 365.89990234375 259.7459411621094 780.6038818359375],0.8241422772407532,[13.027310371398926 175.61264038085938 173.87962341308594 243.80880737304688],0.2991279065608978,NZ,0.2991279065608978
14,1.0,[86.10163116455078 179.43634033203125 1358.693115234375 1061.2236328125],0.8352580666542053,[245.61715698242188 594.20361328125 548.7297973632812 762.246337890625],0.2529350817203522,J,0.2529350817203522
15,1.0,[85.32611083984375 177.8348388671875 1356.6470947265625 1058.8409423828125],0.8538359999656677,[1000.0446166992188 815.720458984375 1266.4017333984375 881.0],0.5182087421417236,GN,0.5182087421417236
15,11.0,[0.004251416772603989 365.9806213378906 256.0602722167969 790.78662109375],0.824199378490448,[0.0 178.0220489501953 93.4046401977539 231.93545532226562],0.39443400502204895,R,0.39443400502204895
16,1.0,[82.9906997680664 178.72108459472656 1356.8330078125 1057.8193359375],0.8653709888458252,[990.5206909179688 818.5457153320312 1266.7216796875 879.0],0.5485647320747375,GN,0.5485647320747375
16,11.0,[0.0 365.9319763183594 253.93377685546875 788.7280883789062],0.825551450252533,[0.0 168.32444763183594 152.41952514648438 244.99530029296875],0.3950842022895813,NMWN,0.3950842022895813
17,1.0,[81.23188018798828 180.05950927734375 1355.1832275390625 1057.43017578125],0.8715022206306458,[992.0509643554688 818.351318359375 1268.188232421875 877.0],0.5207092761993408,GN,0.5207092761993408
17,11.0,[0.0 365.6048583984375 251.00942993164062 784.825927734375],0.8193297982215881,[0.0 173.4165496826172 157.99661254882812 244.4271240234375],0.48829787969589233,WMF,0.48829787969589233
