                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.0117,                0.47284,                 1.3833,                0.97949,                0.95403,                0.98113,                0.69114,                 1.1102,                0.40329,                 1.5202,               0.004654,               0.004654,               0.004654
                     57,                 1.0085,                0.47202,                 1.3816,                0.97609,                0.95726,                 0.9812,                0.69195,                 1.1096,                0.40351,                 1.5205,               0.004555,               0.004555,               0.004555
                     58,                 1.0096,                 0.4723,                 1.3801,                0.97597,                0.95685,                 0.9809,                0.69306,                 1.1088,                0.40212,                 1.5202,               0.004456,               0.004456,               0.004456
                     59,                 1.0049,                0.46976,                 1.3732,                0.97462,                0.95826,                0.98122,                0.69356,                 1.1076,                0.40184,                 1.5189,               0.004357,               0.004357,               0.004357
                     60,                 1.0016,                0.46668,                 1.3738,                0.97976,                0.95339,                0.98097,                 0.6945,                 1.1076,                0.40149,                  1.519,               0.004258,               0.004258,               0.004258
                     61,                 1.0051,                0.46858,                 1.3744,                0.97975,                0.95316,                0.98032,                0.69385,                 1.1072,                0.40082,                  1.519,               0.004159,               0.004159,               0.004159
                     62,                0.99441,                0.45904,                  1.372,                0.98021,                0.95245,                   0.98,                0.69502,                 1.1064,                0.40011,                  1.519,                0.00406,                0.00406,                0.00406
                     63,                0.99845,                0.45926,                 1.3746,                0.97975,                0.95318,                0.98007,                0.69346,                 1.1065,                0.39981,                 1.5189,               0.003961,               0.003961,               0.003961
                     64,                 0.9958,                0.46025,                  1.365,                0.97977,                0.95432,                0.98007,                0.69437,                 1.1067,                0.39915,                 1.5193,               0.003862,               0.003862,               0.003862
                     65,                0.99188,                0.45646,                 1.3645,                0.97936,                0.95263,                0.97943,                0.69335,                 1.1062,                0.39862,                  1.519,               0.003763,               0.003763,               0.003763
                     66,                0.99223,                0.45631,                 1.3631,                0.97882,                0.95363,                0.97929,                0.69425,                 1.1058,                0.39841,                 1.5187,               0.003664,               0.003664,               0.003664
                     67,                0.99114,                0.45055,                 1.3604,                0.97746,                0.95614,                0.97919,                0.69389,                 1.1056,                0.39825,                 1.5183,               0.003565,               0.003565,               0.003565
                     68,                0.98701,                0.44879,                 1.3639,                0.97795,                0.95732,                0.97925,                0.69384,                  1.106,                0.39823,                  1.519,               0.003466,               0.003466,               0.003466
                     69,                0.97886,                0.44872,                 1.3522,                0.97912,                 0.9545,                0.97929,                0.69452,                 1.1057,                0.39785,                 1.5186,               0.003367,               0.003367,               0.003367
                     70,                 0.9743,                0.44625,                 1.3481,                0.98037,                0.95497,                0.97976,                0.69423,                 1.1058,                0.39772,                 1.5186,               0.003268,               0.003268,               0.003268
                     71,                0.98064,                0.44537,                 1.3513,                 0.9798,                 0.9557,                0.97972,                0.69387,                 1.1059,                0.39714,                 1.5189,               0.003169,               0.003169,               0.003169
                     72,                0.97591,                0.44633,                 1.3464,                 0.9798,                0.95536,                0.97977,                 0.6942,                 1.1059,                0.39701,                 1.5188,                0.00307,                0.00307,                0.00307
                     73,                0.96395,                0.43624,                 1.3401,                0.98055,                0.95591,                0.98015,                0.69433,                  1.106,                 0.3961,                 1.5189,               0.002971,               0.002971,               0.002971
                     74,                0.96419,                0.43665,                 1.3344,                0.98068,                0.95591,                0.98033,                0.69474,                 1.1058,                0.39548,                  1.518,               0.002872,               0.002872,               0.002872
                     75,                0.95863,                 0.4339,                 1.3331,                0.98124,                0.95655,                0.98089,                0.69492,                 1.1055,                0.39513,                 1.5174,               0.002773,               0.002773,               0.002773
                     76,                0.95546,                0.43215,                 1.3349,                 0.9812,                0.95685,                 0.9809,                0.69444,                 1.1054,                0.39518,                 1.5176,               0.002674,               0.002674,               0.002674
                     77,                0.95633,                0.43169,                 1.3372,                0.98067,                0.95685,                0.98087,                0.69408,                 1.1051,                0.39501,                 1.5172,               0.002575,               0.002575,               0.002575
                     78,                0.95555,                0.43244,                 1.3317,                0.98071,                0.95685,                0.98092,                0.69387,                 1.1045,                0.39489,                 1.5169,               0.002476,               0.002476,               0.002476
                     79,                0.94917,                0.42643,                 1.3294,                0.98103,                0.95685,                0.98093,                0.69463,                 1.1044,                0.39456,                 1.5166,               0.002377,               0.002377,               0.002377
                     80,                0.94222,                0.42405,                 1.3226,                0.98124,                0.95732,                0.98093,                 0.6947,                 1.1041,                 0.3943,                 1.5165,               0.002278,               0.002278,               0.002278
                     81,                0.94482,                 0.4237,                  1.322,                0.97875,                0.95732,                0.98094,                 0.6946,                 1.1039,                0.39383,                  1.516,               0.002179,               0.002179,               0.002179
                     82,                0.93985,                0.42148,                 1.3207,                0.98157,                0.95685,                0.98097,                0.69429,                 1.1043,                0.39336,                 1.5158,                0.00208,                0.00208,                0.00208
                     83,                0.93449,                0.41793,                 1.3145,                0.98169,                0.95685,                0.98105,                0.69538,                 1.1042,                0.39281,                 1.5156,               0.001981,               0.001981,               0.001981
                     84,                0.92993,                0.41428,                 1.3115,                0.98135,                0.95685,                0.98124,                 0.6957,                  1.104,                0.39282,                 1.5152,               0.001882,               0.001882,               0.001882
                     85,                0.93057,                0.41568,                 1.3141,                0.98051,                0.95685,                0.98142,                0.69588,                 1.1041,                0.39256,                 1.5149,               0.001783,               0.001783,               0.001783
                     86,                0.93137,                0.41321,                 1.3115,                0.97937,                0.95638,                0.98154,                  0.696,                 1.1038,                 0.3921,                 1.5143,               0.001684,               0.001684,               0.001684
                     87,                0.92249,                 0.4094,                 1.3028,                0.97898,                0.95591,                0.98127,                0.69597,                 1.1037,                0.39198,                 1.5142,               0.001585,               0.001585,               0.001585
                     88,                0.91912,                0.40644,                 1.2966,                0.97907,                0.95591,                0.98145,                0.69656,                 1.1037,                0.39171,                 1.5137,               0.001486,               0.001486,               0.001486
                     89,                0.91769,                 0.4034,                 1.3006,                0.97908,                0.95544,                0.98163,                0.69683,                 1.1035,                0.39137,                 1.5136,               0.001387,               0.001387,               0.001387
                     90,                0.91512,                  0.401,                 1.2951,                0.97916,                0.95544,                0.98174,                0.69699,                 1.1039,                 0.3907,                 1.5134,               0.001288,               0.001288,               0.001288
                     91,                0.88594,                0.33897,                 1.2961,                0.97932,                0.95524,                0.98192,                 0.6969,                 1.1043,                0.39064,                 1.5142,               0.001189,               0.001189,               0.001189
                     92,                0.91295,                0.34656,                 1.3228,                0.97818,                0.95685,                0.98192,                0.69687,                 1.1043,                0.39046,                 1.5144,               0.001189,               0.001189,               0.001189
                     93,                0.90098,                0.34204,                 1.3139,                0.97701,                0.95691,                0.98189,                0.69733,                 1.1043,                0.39074,                 1.5147,               0.000991,               0.000991,               0.000991
                     94,                0.90762,                0.34375,                 1.3135,                0.97747,                0.95662,                0.98174,                0.69683,                 1.1045,                0.39081,                 1.5149,               0.000991,               0.000991,               0.000991
                     95,                0.89545,                0.33938,                 1.3087,                0.97656,                0.95753,                 0.9816,                0.69661,                 1.1045,                0.39087,                 1.5149,               0.000793,               0.000793,               0.000793
                     96,                0.89406,                0.33971,                 1.3067,                0.98056,                0.95497,                0.98167,                0.69726,                 1.1044,                 0.3907,                 1.5156,               0.000694,               0.000694,               0.000694
                     97,                0.88645,                0.33594,                 1.3046,                0.98088,                0.95497,                0.98173,                0.69773,                 1.1045,                0.39066,                 1.5167,               0.000595,               0.000595,               0.000595
                     98,                 0.8833,                0.33161,                 1.3007,                0.98126,                0.95497,                0.98194,                0.69744,                 1.1049,                0.39063,                 1.5175,               0.000496,               0.000496,               0.000496
                     99,                0.87814,                0.33151,                 1.2958,                0.98112,                0.95497,                 0.9818,                0.69784,                 1.1049,                0.39052,                 1.5182,               0.000397,               0.000397,               0.000397
                    100,                 0.8732,                0.32757,                 1.2931,                 0.9811,                0.95497,                0.98185,                0.69707,                 1.1049,                0.39047,                 1.5188,               0.000298,               0.000298,               0.000298
